elapsed_sec,frame_ms,draw_calls
12.534,10.849,87
12.544,9.407,84
12.552,8.183,85
12.559,7.528,88
12.570,10.222,89
12.579,9.230,90
12.587,8.486,90
12.597,10.176,90
12.608,10.173,92
12.616,8.662,92
12.627,10.702,90
12.636,9.444,91
12.643,7.050,94
12.654,10.260,95
12.665,10.891,92
12.673,8.793,92
12.681,7.252,94
12.693,12.463,94
12.704,10.605,92
12.711,7.418,89
12.723,11.977,89
12.736,13.069,87
12.747,10.462,86
12.755,8.287,82
12.765,9.987,83
12.776,10.933,80
12.783,7.011,79
12.792,8.885,79
12.802,9.721,77
12.810,8.880,79
12.821,10.633,79
12.828,6.740,78
12.838,9.788,74
12.847,9.852,75
12.858,11.080,76
12.870,11.654,76
12.880,9.401,76
12.888,8.893,74
12.899,10.655,76
12.906,7.387,78
12.917,10.288,81
12.927,10.435,81
12.936,9.288,80
12.947,10.238,83
12.958,11.053,86
12.966,8.349,87
12.975,8.572,85
12.986,10.950,87
12.995,9.639,89
13.004,8.383,88
13.013,9.455,85
13.021,7.838,87
13.030,8.848,90
13.040,10.681,90
13.053,12.682,88
13.061,8.151,85
13.070,8.451,83
13.077,7.227,80
13.085,7.772,80
13.094,9.227,79
13.103,9.412,75
13.112,8.575,76
13.123,11.188,76
13.133,9.756,75
13.141,8.533,72
13.150,8.808,75
13.163,13.218,75
13.174,10.739,74
13.182,7.941,70
13.189,7.025,70
13.199,9.575,72
13.211,12.690,72
13.219,7.911,72
13.229,9.483,71
13.241,12.592,71
13.251,9.702,73
13.261,9.864,75
13.270,9.118,77
13.280,9.779,78
13.288,7.898,78
13.298,10.034,80
13.308,9.750,80
13.318,10.175,81
13.329,11.513,85
13.339,10.046,86
13.350,10.520,85
13.361,11.034,82
13.371,9.812,85
13.384,13.649,87
13.397,12.513,84
13.406,9.556,81
13.416,9.152,76
13.422,6.817,76
13.431,8.302,76
13.441,9.985,75
13.449,8.444,74
13.457,8.279,72
13.468,10.993,72
13.481,12.251,71
13.489,8.546,69
13.497,7.972,71
13.510,12.459,71
13.521,11.075,71
13.529,7.892,67
13.536,7.411,67
13.546,9.622,69
13.558,11.988,69
13.567,9.063,69
13.577,10.350,67
13.585,7.596,63
13.596,11.275,67
13.607,11.059,67
13.617,9.656,68
13.626,9.284,70
13.635,9.021,73
13.644,9.408,75
13.654,9.984,77
13.664,10.029,76
13.676,11.936,80
13.686,9.584,82
13.695,8.751,79
13.707,12.329,78
13.719,12.445,81
13.730,10.244,83
13.739,9.849,81
13.747,8.025,78
13.756,8.477,77
13.766,9.636,76
13.775,8.920,76
13.785,10.872,73
13.796,10.249,72
